raw_model_dir,sample_id,eval_method,artifact_file_slug,file_path,a_parse_ok,b_parse_ok,a_parse_error,b_parse_error,a_summary_path,b_summary_path
groq_qwen_qwen3-32b,143142204719,bypass7,open_instruct_dataset_transformation.py,open_instruct/dataset_transformation.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\143142204719\bypass7\open_instruct_dataset_transformation.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\143142204719\bypass7\open_instruct_dataset_transformation.py\b_summary.txt
groq_qwen_qwen3-32b,153728985754,bypass7,scripts_eval_constraints_if_functions.py,scripts/eval_constraints/if_functions.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\153728985754\bypass7\scripts_eval_constraints_if_functions.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\153728985754\bypass7\scripts_eval_constraints_if_functions.py\b_summary.txt
groq_qwen_qwen3-32b,155467931302,bypass7,sdks_opik_optimizer_src_opik_optimizer_base_optimizer.py,sdks/opik_optimizer/src/opik_optimizer/base_optimizer.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\155467931302\bypass7\sdks_opik_optimizer_src_opik_optimizer_base_optimizer.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\155467931302\bypass7\sdks_opik_optimizer_src_opik_optimizer_base_optimizer.py\b_summary.txt
groq_qwen_qwen3-32b,218091418381,bypass7,src_axolotl_cli_utils.py,src/axolotl/cli/utils.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\218091418381\bypass7\src_axolotl_cli_utils.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\218091418381\bypass7\src_axolotl_cli_utils.py\b_summary.txt
groq_qwen_qwen3-32b,314867664798,bypass7,openhands_core_schema_action.py,openhands/core/schema/action.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\314867664798\bypass7\openhands_core_schema_action.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\314867664798\bypass7\openhands_core_schema_action.py\b_summary.txt
groq_qwen_qwen3-32b,437689644084,bypass7,mm_agents_anthropic_main.py,mm_agents/anthropic/main.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\437689644084\bypass7\mm_agents_anthropic_main.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\437689644084\bypass7\mm_agents_anthropic_main.py\b_summary.txt
groq_qwen_qwen3-32b,473036096332,bypass7,tests_smoke_tests_test_managed_job.py,tests/smoke_tests/test_managed_job.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\473036096332\bypass7\tests_smoke_tests_test_managed_job.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\473036096332\bypass7\tests_smoke_tests_test_managed_job.py\b_summary.txt
groq_qwen_qwen3-32b,492978147465,bypass7,sky_client_cli_command.py,sky/client/cli/command.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\492978147465\bypass7\sky_client_cli_command.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\492978147465\bypass7\sky_client_cli_command.py\b_summary.txt
groq_qwen_qwen3-32b,547094754328,bypass7,src_transformers_modeling_utils.py,src/transformers/modeling_utils.py,True,False,nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),nested_summary_json: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\547094754328\bypass7\src_transformers_modeling_utils.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\547094754328\bypass7\src_transformers_modeling_utils.py\b_summary.txt
groq_qwen_qwen3-32b,563597886573,bypass7,src_llmcompressor_transformers_sparsification_compressed_tensors_utils.py,src/llmcompressor/transformers/sparsification/compressed_tensors_utils.py,False,True,nested_summary_json: Expecting value: line 1 column 1 (char 0),nested_summary_json_fallback_type_regex: Expecting value: line 1 column 1 (char 0),data\raw_model_outputs\groq_qwen_qwen3-32b\563597886573\bypass7\src_llmcompressor_transformers_sparsification_compressed_tensors_utils.py\a_summary.txt,data\raw_model_outputs\groq_qwen_qwen3-32b\563597886573\bypass7\src_llmcompressor_transformers_sparsification_compressed_tensors_utils.py\b_summary.txt
