,id,name,default_branch,license,stargazers,created_at,topics,programming_language,scenario,project_size,project_activity,difficulty,commits,branches,releases,forks,watchers,contributors,blank_lines,code_lines,comment_lines,last_commit,scenario_type,merge_commit_hash
271188139480,syncplay/syncplay-merge-00000,syncplay/syncplay,master,Apache License 2.0,2353,2012-06-20T10:49:36,,python,"{'merge_commit_hash': 'bd9d2333721b39f26cf6351590e62a87f5ea56dd', 'parents': ['3444e930e0fc5f25457c670541210a8aa5a07257', '91b40db0ba3a9392e50fd960d4ff8acef38aea08'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['syncplay/messages_tr.py']}",medium,day,easy,2478,15,71,229,36,73,4105,22609,1799,2025-07-11T04:13:50,merge,bd9d2333721b39f26cf6351590e62a87f5ea56dd
192974181015,feast-dev/feast-merge-00000,feast-dev/feast,master,Apache License 2.0,6238,2018-12-10T07:20:15,big-data;data-engineering;data-quality;data-science;feature-store;features;machine-learning;ml;mlops;python,python,"{'merge_commit_hash': 'ca075bc063b1c8e71e2ba2b284f741cb02ac64ad', 'parents': ['20182b789ec4b469c817d5e0a56854f1ae65d70a', '9a1f51924027188111e74dc8ac91f01bcf62611a'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['sdk/python/feast/feature_view.py']}",large,day,easy,4122,254,121,1132,75,295,31219,272515,42529,2025-07-29T02:10:11,merge,ca075bc063b1c8e71e2ba2b284f741cb02ac64ad
530345427777,feast-dev/feast-merge-00004,feast-dev/feast,master,Apache License 2.0,6238,2018-12-10T07:20:15,big-data;data-engineering;data-quality;data-science;feature-store;features;machine-learning;ml;mlops;python,python,"{'merge_commit_hash': '55b127549e9ba751a9eefeaeb1d355d5d83018ed', 'parents': ['bd77562ab8b330d4b310da1ecc92f9d4f8274fb7', '6b051537535cd9f4cd5090a17a43124cd9ae821b'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['sdk/python/feast/infra/compute_engines/aws_lambda/lambda_engine.py']}",large,day,easy,4122,254,121,1132,75,295,31219,272515,42529,2025-07-29T02:10:11,merge,55b127549e9ba751a9eefeaeb1d355d5d83018ed
224247888380,jurajnyiri/homeassistant-tapo-control-merge-00000,jurajnyiri/homeassistant-tapo-control,main,Apache License 2.0,1518,2020-10-01T05:08:12,camera;cameras;home-assistant;home-automation;homeassistant;homeassistant-custom-component;ptz;tapo,python,"{'merge_commit_hash': 'd88937e0608d9b439aba2979860a64f5d8e0ea52', 'parents': ['8f92dea96478bbf5e28405a2de42a27753d200c6', '9afa45cadf0afb64f0740ef021440502925474fa'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['custom_components/tapo_control/utils.py']}",medium,day,easy,1056,55,201,113,33,35,1496,11772,121,2025-07-25T09:12:30,merge,d88937e0608d9b439aba2979860a64f5d8e0ea52
552489197270,fastmachinelearning/hls4ml-merge-00003,fastmachinelearning/hls4ml,main,Apache License 2.0,1560,2017-10-25T09:43:56,fpga;hls;intel-hls;keras;machine-learning;neural-network;onnx;python;pytorch;vivado;vivado-hls,python,"{'merge_commit_hash': '329c2d8292b4925b8dba81775b20e9970dd12234', 'parents': ['13b6dbb2eb1dbbf4eb3f9f6a2cf790579665bfc8', '5bcba6848531a1c4a937cc6873898db3b20e64ed'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['hls4ml/model/graph.py']}",medium,day,easy,2583,251,18,474,53,63,22074,95351,16517,2025-07-29T10:44:39,merge,329c2d8292b4925b8dba81775b20e9970dd12234
816101673573,fastmachinelearning/hls4ml-merge-00019,fastmachinelearning/hls4ml,main,Apache License 2.0,1560,2017-10-25T09:43:56,fpga;hls;intel-hls;keras;machine-learning;neural-network;onnx;python;pytorch;vivado;vivado-hls,python,"{'merge_commit_hash': '6262ee97b1bac15376275be1bf7de7fed7e57e2b', 'parents': ['09564c386b52655d73515e5410ffc59ce16fca54', '2898ab2f295238f197ef697c83b40879ef24e45e'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['hls4ml/model/layers.py']}",medium,day,easy,2583,251,18,474,53,63,22074,95351,16517,2025-07-29T10:44:39,merge,6262ee97b1bac15376275be1bf7de7fed7e57e2b
14222973267,lyft/cartography-merge-00004,lyft/cartography,master,Apache License 2.0,2982,2019-02-27T12:16:29,lyft,python,"{'merge_commit_hash': '96d62d82fbd6b6c376a0ff37f166e0b8ab3d956c', 'parents': ['ab83d3ff62466f84374e45bcabe6ca1d8e4d7224', 'a587d85a82365e31698669644f714040d8758ffd'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['cartography/sync.py']}",medium,day,easy,804,136,168,336,399,86,9828,53102,11217,2024-10-11T04:24:26,merge,96d62d82fbd6b6c376a0ff37f166e0b8ab3d956c
887262333435,lyft/cartography-merge-00005,lyft/cartography,master,Apache License 2.0,2982,2019-02-27T12:16:29,lyft,python,"{'merge_commit_hash': '5ea36d3b769b18e218481f46933facd705313e5b', 'parents': ['0f2f5a052fbc32c6b34273edd1ff2cd4855f7869', '9c31e9e23c8a6a3d3f5f7378895735c5b3c363bd'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['setup.py']}",medium,day,easy,804,136,168,336,399,86,9828,53102,11217,2024-10-11T04:24:26,merge,5ea36d3b769b18e218481f46933facd705313e5b
387387732626,netflix/metaflow-merge-00000,netflix/metaflow,master,Apache License 2.0,9319,2019-09-17T05:48:25,agents;ai;aws;azure;data-science;datascience;gcp;generative-ai;high-performance-computing;kubernetes;llm;llmops;machine-learning;ml;ml-infrastructure;ml-platform;mlops;model-management;python,python,"{'merge_commit_hash': 'f974f8b3aaaa14ca6cf71976ec2f4f55ee70ea2a', 'parents': ['cda32dbe2860b5b49f975f57609e8ed1ebd7a9d1', 'a7c7882d3a8b99d609ceb27e9cb083a282421e41'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['metaflow/plugins/argo/argo_workflows.py']}",large,day,easy,1363,145,209,866,295,109,20065,112168,26609,2025-07-29T06:10:54,merge,f974f8b3aaaa14ca6cf71976ec2f4f55ee70ea2a
979769281315,ranaroussi/yfinance-merge-00001,ranaroussi/yfinance,main,Apache License 2.0,18208,2017-05-21T10:16:15,financial-data;fix-yahoo-finance;market-data;pandas;python;stock-data;yahoo-finance;yahoo-finance-api,python,"{'merge_commit_hash': 'ce9becddbb78848962f7e592b29d0e70818b992a', 'parents': ['7e12f2029f01f8fbfd8c83a2f6d997c1d9d14436', 'a0dc25229bb8e3db8f82ec37391ba5da6eb09546'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['tests/test_prices.py']}",medium,day,easy,1603,25,102,2725,254,123,2893,44596,2582,2025-07-06T04:18:39,merge,ce9becddbb78848962f7e592b29d0e70818b992a
320227862460,huggingface/transformers-merge-00000,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': '02e75eb37dc4728316d474ca1024c6169d752189', 'parents': ['a1e024e118c692e78161f3afc9e0dc50cdaee1fb', '4d5b45870411053c9c72d24a8e1052e00fe62ad6'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/tokenization_utils_fast.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,02e75eb37dc4728316d474ca1024c6169d752189
963888525647,huggingface/transformers-merge-00006,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': '83811650402680b202cecc45836e4436f6f46bfd', 'parents': ['48833071c0f8a7810374e8fe89b58afa7cd8c970', '6181c6b095e85ba3c807fd18c90b8c27df4becd9'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/modeling_utils.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,83811650402680b202cecc45836e4436f6f46bfd
196807749657,huggingface/transformers-merge-00011,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': 'c2b1e60a9785dfad604e2657be4486978a6646c2', 'parents': ['8fe84b7b7b582b87c392662d6e78219d8c0ee066', '2e24ee4dfa39cc0bc264b89edbccc373c8337086'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/models/auto/modeling_auto.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,c2b1e60a9785dfad604e2657be4486978a6646c2
911193036416,huggingface/transformers-merge-00012,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': '3db1cec021f94d9158bf47e1542d1de88b4ec18f', 'parents': ['863e203db84b06d384bb2484ec16a3b2e92c7ed3', 'e0d82534cc95b582ab072c1bbc060852ba7f9d51'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/trainer_pt_utils.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,3db1cec021f94d9158bf47e1542d1de88b4ec18f
899892906797,huggingface/transformers-merge-00016,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': 'd0bf57e8fcf813255ef4915260eb7422103d67b8', 'parents': ['65490b4e5d58088109f013fcc1ee5a665eb63f9c', '61ac161a9d67dd6e7a7a971d8828f08fb127a2c6'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['utils/check_repo.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,d0bf57e8fcf813255ef4915260eb7422103d67b8
297201202449,huggingface/transformers-merge-00019,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': 'a9045fc914775e9601c855040f6d11409b5be378', 'parents': ['d7d09a17882ae4925f070219499c4f48419874b2', 'a515579aed8c0fe9bf529b6c40446a289406d5d6'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/cache_utils.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,a9045fc914775e9601c855040f6d11409b5be378
377149048565,huggingface/transformers-merge-00020,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': 'b8786474bb00366f0c4a7a8a3134951ccc3109c5', 'parents': ['949b1b7e9875192787f34a0d097da630c7911d1e', '71521afb4369bf17ad4969e8da697049dde626dc'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['tests/models/llama4/test_modeling_llama4.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,b8786474bb00366f0c4a7a8a3134951ccc3109c5
849853816180,huggingface/transformers-merge-00029,huggingface/transformers,main,Apache License 2.0,147507,2018-10-29T01:56:00,audio;deep-learning;deepseek;gemma;glm;hacktoberfest;llm;machine-learning;model-hub;natural-language-processing;nlp;pretrained-models;python;pytorch;pytorch-transformers;qwen;speech-recognition;transformer;vlm,python,"{'merge_commit_hash': 'be9f683c995db4c3c8431f8cc1d8b7354c36bc7a', 'parents': ['a2f8bbe59e9eb69da2537c926a4d0fd56af773be', '9b5ce556aae70c5d201b20a20c4a50aa89a2176c'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['src/transformers/modeling_utils.py']}",huge,day,easy,19796,888,217,29792,1155,436,320621,1241373,330807,2025-07-26T10:26:36,merge,be9f683c995db4c3c8431f8cc1d8b7354c36bc7a
324834716438,great-expectations/great_expectations-merge-00006,great-expectations/great_expectations,develop,Apache License 2.0,10608,2017-09-11T12:18:46,cleandata;data-engineering;data-profilers;data-profiling;data-quality;data-science;data-unit-tests;datacleaner;datacleaning;dataquality;dataunittest;eda;exploratory-analysis;exploratory-data-analysis;exploratorydataanalysis;mlops;pipeline;pipeline-debt;pipeline-testing;pipeline-tests,python,"{'merge_commit_hash': '6adff817228c3eadc8d4a48f911638176821443c', 'parents': ['896b838232caeb9ff428679e5a3203042bbae102', '7d650d972356cc789f7ff7c385e0d4e5f75c9386'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['tests/actions/test_core_actions.py']}",large,day,easy,13258,526,308,1604,86,401,68978,953154,66929,2025-07-31T11:37:53,merge,6adff817228c3eadc8d4a48f911638176821443c
861045220386,mlrun/mlrun-merge-00003,mlrun/mlrun,development,Apache License 2.0,1562,2019-09-01T04:59:19,data-engineering;data-science;experiment-tracking;kubernetes;machine-learning;mlops;mlops-workflow;model-serving;python;workflow,python,"{'merge_commit_hash': '47216f979153200720bb6887259ddf71612898bd', 'parents': ['2a06c1c9d616e9a8c0e5301dcbc9a2984f2bf37c', 'd2e57352cafd83b609456f5dd2d063a401ec4e09'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['server/api/crud/model_monitoring/deployment.py']}",large,day,easy,6702,62,719,271,27,77,44910,301264,96864,2025-07-31T06:29:37,merge,47216f979153200720bb6887259ddf71612898bd
906273879128,dbt-labs/dbt-core-merge-00000,dbt-labs/dbt-core,main,Apache License 2.0,11185,2016-03-10T02:38:00,analytics;business-intelligence;data-modeling;dbt-viewpoint;elt;pypa;slack,python,"{'merge_commit_hash': '434a59bf7499552ebe8b51c116bb9308d800c805', 'parents': ['b29085544304c5624e54ee4fee37d58c1a0e0a14', 'a1958c119399f765ad43e49b8b12c88cf3ec1245'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['core/dbt/contracts/project.py']}",large,day,easy,7136,731,283,1781,146,302,28222,245677,33277,2025-07-29T03:05:30,merge,434a59bf7499552ebe8b51c116bb9308d800c805
751609147728,al-one/hass-xiaomi-miot-merge-00000,al-one/hass-xiaomi-miot,master,Apache License 2.0,5364,2020-12-03T12:13:13,custom-component;home-assistant;homeassistant;iot;miio;miot;miot-spec;smart-home;xiaoai;xiaomi;xiaomi-miot,python,"{'merge_commit_hash': '9bd9235c1b928e8d9c12fc97401b238fa1248cdc', 'parents': ['e4f7b32526b86e676a16850d3d2055a0efa9558e', 'f0a0b9f3004970b23b7688b56479005cf201e39b'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['custom_components/xiaomi_miot/sensor.py']}",medium,day,easy,2397,6,129,769,35,114,2246,30780,448,2025-07-27T09:02:32,merge,9bd9235c1b928e8d9c12fc97401b238fa1248cdc
509766538380,al-one/hass-xiaomi-miot-merge-00002,al-one/hass-xiaomi-miot,master,Apache License 2.0,5364,2020-12-03T12:13:13,custom-component;home-assistant;homeassistant;iot;miio;miot;miot-spec;smart-home;xiaoai;xiaomi;xiaomi-miot,python,"{'merge_commit_hash': '1f59fcefaab946888c133cb28d929f40f71690c7', 'parents': ['81c803d1967b4f0ad0ace120400aefdb0e160cf9', '1410332e02d49847cd012d97788953e977ce016d'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['custom_components/xiaomi_miot/__init__.py']}",medium,day,easy,2397,6,129,769,35,114,2246,30780,448,2025-07-27T09:02:32,merge,1f59fcefaab946888c133cb28d929f40f71690c7
671638652582,pennylaneai/pennylane-merge-00016,pennylaneai/pennylane,master,Apache License 2.0,2759,2018-04-17T04:45:42,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;hacktoberfest;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;strawberryfields;tensorflow,python,"{'merge_commit_hash': '5da4bb7ceee35891a03b9d12d6ecef79199bb2a8', 'parents': ['dcc04784e8a8b8b72dd195bc4a0a597ea2113429', 'cc21b9766cbba0534d1d2b72ce1defff1757fa08'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['pennylane/transforms/decompose.py']}",large,day,easy,5716,371,65,683,48,197,130687,491328,130063,2025-07-30T02:21:02,merge,5da4bb7ceee35891a03b9d12d6ecef79199bb2a8
805408191704,pennylaneai/pennylane-merge-00018,pennylaneai/pennylane,master,Apache License 2.0,2759,2018-04-17T04:45:42,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;hacktoberfest;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;strawberryfields;tensorflow,python,"{'merge_commit_hash': '772a2d3fb3d8b73cdb3f1bc364fc665a08346e31', 'parents': ['f00d9118bdc34d45a380e440c36a41b890ae2c07', 'b49aecbb66e625bc5f78c124569126fb544786cd'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['pennylane/labs/resource_estimation/ops/op_math/symbolic.py']}",large,day,easy,5716,371,65,683,48,197,130687,491328,130063,2025-07-30T02:21:02,merge,772a2d3fb3d8b73cdb3f1bc364fc665a08346e31
506112998075,pennylaneai/pennylane-merge-00021,pennylaneai/pennylane,master,Apache License 2.0,2759,2018-04-17T04:45:42,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;hacktoberfest;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;strawberryfields;tensorflow,python,"{'merge_commit_hash': '620fa34bcede45cf3cd2c843e5aa8f255aa17af5', 'parents': ['26c48013ca2f0bfdaefe5e3e0c8c8dedc7cec62f', '70b3eaed814b27f9fb9d1457902c17320476cb87'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['pennylane/decomposition/symbolic_decomposition.py']}",large,day,easy,5716,371,65,683,48,197,130687,491328,130063,2025-07-30T02:21:02,merge,620fa34bcede45cf3cd2c843e5aa8f255aa17af5
804237079085,pennylaneai/pennylane-merge-00027,pennylaneai/pennylane,master,Apache License 2.0,2759,2018-04-17T04:45:42,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;hacktoberfest;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;strawberryfields;tensorflow,python,"{'merge_commit_hash': 'd59dbad0b57e737b62ada9cf422c32dc5312eff0', 'parents': ['5f36c9adb63112e7273852b98eae1ff1c02bc9e9', 'b2beee1e2c728618a26f559bea2a1f6968938f27'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['pennylane/compiler/python_compiler/dialects/quantum.py']}",large,day,easy,5716,371,65,683,48,197,130687,491328,130063,2025-07-30T02:21:02,merge,d59dbad0b57e737b62ada9cf422c32dc5312eff0
965563141071,pennylaneai/pennylane-merge-00033,pennylaneai/pennylane,master,Apache License 2.0,2759,2018-04-17T04:45:42,autograd;automatic-differentiation;cirq;deep-learning;differentiable-computing;hacktoberfest;jax;machine-learning;neural-network;optimization;python;pytorch;qiskit;qml;quantum;quantum-chemistry;quantum-computing;quantum-machine-learning;strawberryfields;tensorflow,python,"{'merge_commit_hash': 'cf3ca8209a31830c7192259c51b5f5933a5a6f89', 'parents': ['0da270e8c134f8d474a588bd6a2521f36d020c60', 'af637c06a70e6f154c6b52a846d725eb078ca186'], 'after_date_filter': True, 'number_of_files_with_merge_conflict': 1, 'total_number_of_merge_conflicts': 1, 'files_in_merge_conflict': ['pennylane/ftqc/parametric_midmeasure.py']}",large,day,easy,5716,371,65,683,48,197,130687,491328,130063,2025-07-30T02:21:02,merge,cf3ca8209a31830c7192259c51b5f5933a5a6f89
