sample_id,source_file,model_family,a_total_changes,b_total_changes,parse_ok,a_parse_ok,b_parse_ok,summary_file_rows,selected_parent,metadata_source,result_file_rows,result_failure_file_rows,all_files_failed_exact_match,any_file_failed_exact_match,mean_exact_match,repo,difficulty,project_size,model_name,a_type_addition,b_type_addition,a_type_modification,b_type_modification,a_type_removal,b_type_removal,a_type_unknown,b_type_unknown,a_type_intent,b_type_intent,a_type_note,b_type_note,a_type_likely intent,b_type_likely intent,a_type_analysis,b_type_analysis,a_type_import,b_type_import,a_type_commentary,b_type_commentary,a_type_summary,b_type_summary,a_type_replacement,b_type_replacement,a_type_additional,b_type_additional,a_type_refactor,b_type_refactor,a_type_renaming,b_type_renaming,a_type_class rename,b_type_class rename,a_type_deprecation,b_type_deprecation,a_type_metaclass introduction,b_type_metaclass introduction,a_type_json object,b_type_json object,a_type_reordering,b_type_reordering,a_type_boolean,b_type_boolean,a_type_reformatting,b_type_reformatting,a_type_reorganization,b_type_reorganization,a_type_comment,b_type_comment,a_type_assertion,b_type_assertion,rejected_parent,selected_change_count,rejected_change_count,selected_minus_rejected_changes,file_label_favored_complexity_count,file_label_favored_simplicity_count,file_label_tie_ambiguous_count,file_label_unparseable_count,file_label_mix_or_missing_selection_count,majority_vote_preference_label,summary_preference_label,dominant_preference,summary_preference_manual_equivalent,manual_agreement
102729026392,2025-11-23-qwen3-failure-classifications,qwen3,1,6,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,vllm-project/llm-compressor,easy,medium,groq:qwen/qwen3-32b,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1,6,-5,0,1,0,0,0,favored_simplicity,favored_simplicity,favored simplicity,favored simplicity,True
102729026392,2026-02-03-llama-failure-classifications,llama,2,9,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,vllm-project/llm-compressor,easy,medium,local:meta-llama/Llama-3.1-8B-Instruct,0,4,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2,9,-7,0,1,0,0,0,favored_simplicity,favored_simplicity,,favored simplicity,
103656426411,2025-11-09-gpt5nano-failure-classifications,gpt5nano,2,2,True,True,True,1,B,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,pytorch/rl,easy,large,openai/gpt-5-nano,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,2,2,0,0,0,1,0,0,tie_ambiguous,tie_ambiguous,favored simplicity,tie (ambiguous),False
104567777563,2025-11-23-qwen3-failure-classifications,qwen3,6,7,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,OpenDevin/OpenDevin,medium,medium,groq:qwen/qwen3-32b,1,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,6,7,-1,0,1,0,0,0,favored_simplicity,favored_simplicity,favored simplicity,favored simplicity,True
105038906426,2025-11-23-qwen3-failure-classifications,qwen3,3,3,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,airweave-ai/airweave,easy,medium,groq:qwen/qwen3-32b,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,3,3,0,0,0,1,0,0,tie_ambiguous,tie_ambiguous,neither,tie (ambiguous),False
105354636072,2025-11-23-qwen3-failure-classifications,qwen3,3,2,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,huggingface/transformers,medium,huge,groq:qwen/qwen3-32b,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,3,2,1,1,0,0,0,0,favored_complexity,favored_complexity,favored complexity,favored complexity,True
106151546310,2025-11-09-gpt5nano-failure-classifications,gpt5nano,20,38,True,True,True,3,B,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,openai/gpt-5-nano,9,12,10,23,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,38,20,18,2,1,0,0,0,favored_complexity,favored_complexity,favored complexity,favored complexity,True
106151546310,2025-11-23-qwen3-failure-classifications,qwen3,23,32,True,True,True,3,A,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,groq:qwen/qwen3-32b,17,11,6,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,23,32,-9,1,2,0,0,0,favored_simplicity,favored_simplicity,favored simplicity,favored simplicity,True
106151546310,2026-02-03-llama-failure-classifications,llama,3,3,False,False,False,3,A,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,local:meta-llama/Llama-3.1-8B-Instruct,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,3,3,0,0,0,0,3,0,unparseable,unparseable,,,
106986943940,2025-11-23-qwen3-failure-classifications,qwen3,2,2,True,True,True,1,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,run-house/runhouse,medium,medium,groq:qwen/qwen3-32b,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2,2,0,0,0,1,0,0,tie_ambiguous,tie_ambiguous,neither,tie (ambiguous),False
