sample_id,case_id,source_run,source_file,model_family,artifact_file_slug,file_path,a_summary_path,b_summary_path,a_parse_ok,b_parse_ok,parse_ok,a_parse_error,b_parse_error,a_total_changes,b_total_changes,a_likely_intent,b_likely_intent,a_type_addition,b_type_addition,a_type_modification,b_type_modification,a_type_removal,b_type_removal,a_type_unknown,b_type_unknown,a_type_intent,b_type_intent,a_type_note,b_type_note,a_type_likely intent,b_type_likely intent,a_type_analysis,b_type_analysis,a_type_import,b_type_import,a_type_commentary,b_type_commentary,a_type_summary,b_type_summary,a_type_replacement,b_type_replacement,a_type_additional,b_type_additional,a_type_refactor,b_type_refactor,a_type_renaming,b_type_renaming,a_type_class rename,b_type_class rename,a_type_deprecation,b_type_deprecation,a_type_metaclass introduction,b_type_metaclass introduction,a_type_json object,b_type_json object,a_type_reordering,b_type_reordering,a_type_boolean,b_type_boolean,a_type_reformatting,b_type_reformatting,a_type_reorganization,b_type_reorganization,a_type_comment,b_type_comment,a_type_assertion,b_type_assertion,selected_parent,metadata_source,result_file_rows,result_failure_file_rows,all_files_failed_exact_match,any_file_failed_exact_match,mean_exact_match,repo,difficulty,project_size,model_name,rejected_parent,selected_change_count,rejected_change_count,selected_minus_rejected_changes,summary_preference_label
103656426411,103656426411-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,torchrl_data___init__.py,torchrl/data/__init__.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\103656426411-1\bypass\torchrl_data___init__.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\103656426411-1\bypass\torchrl_data___init__.py\b_summary.txt,True,True,True,,,2,2,Introduce DensifyReward as a publicly exported postprocessing step and ensure it is available in the module's API alongside MultiStep.,Introduce RayReplayBuffer feature by adding it to imports and __all__ exports to expose it in the package API.,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,pytorch/rl,easy,large,openai/gpt-5-nano,A,2.0,2.0,0.0,tie_ambiguous
106151546310,106151546310-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,src_crewai_crew.py,src/crewai/crew.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-1\bypass\src_crewai_crew.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-1\bypass\src_crewai_crew.py\b_summary.txt,True,True,True,,nested_summary_json_prefix: Extra data: line 74 column 2 (char 8474),13,12,,"Refactor Crew execution flow to support per-task contexts and hierarchical manager behavior, standardize on returning CrewOutput objects, add validations for async/task context rules, and remove the legacy _format_output path.",7,4,5,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,openai/gpt-5-nano,A,12.0,13.0,-1.0,favored_simplicity
106151546310,106151546310-2,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,src_crewai_task.py,src/crewai/task.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-2\bypass\src_crewai_task.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-2\bypass\src_crewai_task.py\b_summary.txt,True,True,True,,nested_summary_json_prefix: Extra data: line 116 column 3 (char 5513),3,19,"Stabilize task execution by preserving agent reference, avoid blocking on async child tasks during context handling, and safely handle None agents when copying tasks.","Introduce configurable, robust output export (pydantic/json/raw) via a converter system, add explicit converter override capability, and simplify/secure async execution by removing wait_for_completion and consolidating context handling; also enforce output file safeguards and introduce OutputFormat guidance for TaskOutput.",0,6,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,openai/gpt-5-nano,A,19.0,3.0,16.0,favored_complexity
106151546310,106151546310-3,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,tests_crew_test.py,tests/crew_test.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-3\bypass\tests_crew_test.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\106151546310-3\bypass\tests_crew_test.py\b_summary.txt,True,True,True,,,4,7,"Introduce and validate replay functionality tests for cross-task context propagation, and clean up minor test formatting/imports to stabilize test suite.",Introduce async-context validation tests and update tests to reflect API changes: CrewOutput and TaskOutput now expose raw data via .raw instead of methods like raw_output(); add tests for usage_metrics presence; simplify several assertions by removing reliance on full_output and mocks; augment suite with new tests to enforce constraints on async task contexts and future-task dependencies.,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,results\figures\force_mix_vs_final_combined.csv,3,3,True,True,0.0,crewAIInc/crewAI,hard,large,openai/gpt-5-nano,A,7.0,4.0,3.0,favored_complexity
107501480065,107501480065-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,pydantic_ai_slim_pydantic_ai_models_instrumented.py,pydantic_ai_slim/pydantic_ai/models/instrumented.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\107501480065-1\bypass\pydantic_ai_slim_pydantic_ai_models_instrumented.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\107501480065-1\bypass\pydantic_ai_slim_pydantic_ai_models_instrumented.py\b_summary.txt,True,True,True,nested_summary_json_prefix: Extra data: line 20 column 2 (char 1293),,3,2,Introduce typing-safe handling for OpenTelemetry usage attributes and lay groundwork for token-usage metrics instrumentation while avoiding circular imports.,"Fix instrumentation to rely on existing span attributes and explicit model.system, improving compatibility with FallbackModel and reducing derived-system logic.",1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,pydantic/pydantic-ai,easy,large,openai/gpt-5-nano,B,3.0,2.0,1.0,favored_complexity
115058474542,115058474542-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,ms_agent_llm_openai_llm.py,ms_agent/llm/openai_llm.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\115058474542-1\bypass\ms_agent_llm_openai_llm.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\115058474542-1\bypass\ms_agent_llm_openai_llm.py\b_summary.txt,True,True,True,,,0,1,,Rename the modelscope-agent package to ms-agent to align with a new naming convention; this aims to update the module namespace but introduces breaking changes requiring downstream import updates.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,modelscope/modelscope-agent,easy,medium,openai/gpt-5-nano,B,0.0,1.0,-1.0,favored_simplicity
118214162527,118214162527-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,docling_datamodel_pipeline_options.py,docling/datamodel/pipeline_options.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\118214162527-1\bypass\docling_datamodel_pipeline_options.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\118214162527-1\bypass\docling_datamodel_pipeline_options.py\b_summary.txt,True,True,True,nested_summary_json_prefix: Extra data: line 14 column 2 (char 674),,2,2,Introduce support for a dedicated layout model repository in LayoutOptions and provide a compatibility alias for WHISPER_TINY ASR model spec to align with upcoming TwoStageVlmModel work.,Introduce a layout_model specification option by wiring in LayoutModelConfig and presets and exposing model_spec in LayoutOptions for configuring the layout model.,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,DS4SD/docling,easy,large,openai/gpt-5-nano,B,2.0,2.0,0.0,tie_ambiguous
125568505545,125568505545-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,sentry_sdk_transport.py,sentry_sdk/transport.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\125568505545-1\bypass\sentry_sdk_transport.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\125568505545-1\bypass\sentry_sdk_transport.py\b_summary.txt,True,True,True,,,8,8,"Add an asynchronous transport path (AsyncHttpTransport) guarded by environment capabilities, wire up async worker usage, and make transport selection respect the transport_async experiment and event loop presence to improve async performance while preserving compatibility and safe fallbacks.",,4,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,getsentry/sentry-python,easy,medium,openai/gpt-5-nano,B,8.0,8.0,0.0,tie_ambiguous
126658010330,126658010330-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,zoo_atari_config_atari_unizero_multitask_segment_8games_ddp_config.py,zoo/atari/config/atari_unizero_multitask_segment_8games_ddp_config.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\126658010330-1\bypass\zoo_atari_config_atari_unizero_multitask_segment_8games_ddp_config.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\126658010330-1\bypass\zoo_atari_config_atari_unizero_multitask_segment_8games_ddp_config.py\b_summary.txt,True,True,True,,,5,3,"Adjust the atari_unizero_multitask config to use a not-share-head variant, enable cosine LR scheduling, delay training start, update run naming, and reflect a higher parallelism launcher in usage guidance.","Introduce not-share-head configuration, delay the start of training, and relocate/rename experiment outputs to reflect the new debugging/experimental setup and reduce head-sharing across tasks.",0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,opendilab/lightzero,easy,medium,openai/gpt-5-nano,B,5.0,3.0,2.0,favored_complexity
127442621803,127442621803-1,2025-11-09-gpt5nano-failure-cases,2025-11-09-gpt5nano-failure-classifications,gpt5nano,addons_io_scene_gltf2___init__.py,addons/io_scene_gltf2/__init__.py,data\labeling_results\2025-11-09-gpt5nano-failure-cases\127442621803-1\bypass\addons_io_scene_gltf2___init__.py\a_summary.txt,data\labeling_results\2025-11-09-gpt5nano-failure-cases\127442621803-1\bypass\addons_io_scene_gltf2___init__.py\b_summary.txt,True,True,True,,,2,1,Update addon version to 4.4.x and adjust the glTF export UI text to improve readability by introducing a newline between the two lines of the export_extra_animations description.,Release a patch update by bumping the addon version to 4.3.44.,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,results\figures\force_mix_vs_final_combined.csv,1,1,True,True,0.0,khronosgroup/gltf-blender-io,easy,medium,openai/gpt-5-nano,A,1.0,2.0,-1.0,favored_simplicity
