metric,count,min,median,mean,max,sum
evaluated_row_count,343,8.0,24.0,85.8192419825073,2142.0,29436.0
evaluated_instance_count,343,1.0,2.0,5.565597667638484,107.0,1909.0
benchmark_scenario_count,343,1.0,2.0,5.565597667638484,107.0,1909.0
conflict_files_total,343,1.0,3.0,13.416909620991254,1066.0,4602.0
conflict_files_median,343,1.0,1.0,1.7244897959183674,95.0,591.5
merge_conflicts_total,343,1.0,5.0,26.591836734693878,2232.0,9121.0
merge_conflicts_median,343,1.0,2.0,3.116618075801749,101.0,1069.0
merge_parent_count_median,343,2.0,2.0,2.0,2.0,686.0
stargazers,343,1001.0,2982.0,7459.932944606414,147507.0,2558757.0
commits,343,49.0,1332.0,2610.3527696793003,22973.0,895351.0
branches,343,5.0,41.0,94.70845481049562,888.0,32485.0
releases,343,0.0,30.0,64.76384839650146,719.0,22214.0
forks,343,20.0,399.0,948.530612244898,29792.0,325346.0
watchers,343,6.0,41.0,87.53935860058309,1155.0,30026.0
contributors,343,5.0,57.0,95.86297376093295,472.0,32881.0
blank_lines,343,253.0,8893.0,17740.186588921282,320621.0,6084884.0
code_lines,343,1036.0,53102.0,135680.33819241982,2500524.0,46538356.0
comment_lines,343,35.0,8223.0,23432.24198250729,414209.0,8037259.0
difficulty_easy_scenario_count,343,0.0,1.0,2.556851311953353,45.0,877.0
difficulty_hard_scenario_count,343,0.0,1.0,1.903790087463557,40.0,653.0
difficulty_medium_scenario_count,343,0.0,1.0,1.1049562682215743,22.0,379.0
project_size_medium_scenario_count,343,0.0,1.0,3.206997084548105,107.0,1100.0
project_size_small_scenario_count,343,0.0,0.0,0.30029154518950435,19.0,103.0
project_size_large_scenario_count,343,0.0,0.0,1.7667638483965014,91.0,606.0
project_size_huge_scenario_count,343,0.0,0.0,0.2915451895043732,38.0,100.0
active_span_days,343,31.0,1051.0,1585.857142857143,5991.0,543949.0
active_span_years,343,0.08487337440109514,2.8774811772758384,4.341840226850493,16.40246406570842,1489.2511978097193
repository_age_days,343,42.0,1121.0,1632.930029154519,5992.0,560095.0
repository_age_years,343,0.11498973305954825,3.0691307323750854,4.470718765652345,16.40520191649555,1533.4565366187542
commits_per_year,343,5.603556485355648,512.5907643312102,799.5747137524214,5398.395,274254.12681708054
code_lines_per_contributor,343,26.390374331550802,881.5806451612904,3964.7972826476407,324975.4,1359925.4679481408
stars_per_year,343,82.16048626902221,1201.4802631578948,3548.6668966271577,48875.50132978723,1217192.745543115
