model_name,case_type,ablation,id,repo,file_name,key,metric,bj_metric,ablation_metric,agent_metric,delta,bj_em,agent_em
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,709290044412,khronosgroup/gltf-blender-io,addons/io_scene_gltf2/__init__.py,709290044412::addons/io_scene_gltf2/__init__.py,similarity,0.0142177217648915,0.9999757169568492,0.9999757169568492,0.9857579951919577,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,966387955755,skypilot-org/skypilot,sky/serve/server/core.py,966387955755::sky/serve/server/core.py,similarity,0.0,0.9081212319611534,0.9062764707489686,0.9081212319611534,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,344645272640,microsoft/deepspeed,deepspeed/runtime/engine.py,344645272640::deepspeed/runtime/engine.py,similarity,0.0639800628066293,0.9521071512388104,0.949983795442608,0.8881270884321811,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,857012001082,mckinsey/vizro,vizro-core/examples/scratch_dev/app.py,857012001082::vizro-core/examples/scratch_dev/app.py,similarity,0.231468849477035,1.0,0.349931787175989,0.7685311505229651,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,938525112707,great-expectations/great_expectations,tests/integration/test_utils/data_source_config/postgres.py,938525112707::tests/integration/test_utils/data_source_config/postgres.py,similarity,0.2682430316316944,0.9994475138121548,0.9988944168048646,0.7312044821804604,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,555381121741,beir-cellar/beir,beir/retrieval/search/dense/exact_search_multi_gpu.py,555381121741::beir/retrieval/search/dense/exact_search_multi_gpu.py,similarity,0.2718348854769695,1.0,0.4414799899320413,0.7281651145230306,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,377149048565,huggingface/transformers,tests/models/llama4/test_modeling_llama4.py,377149048565::tests/models/llama4/test_modeling_llama4.py,similarity,0.2672562553925798,0.9933481152993348,0.2663837559088956,0.726091859906755,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,141616630456,skypilot-org/skypilot,sky/jobs/client/sdk.py,141616630456::sky/jobs/client/sdk.py,similarity,0.2523429972847508,0.9367609704826136,0.9427170009634755,0.6844179731978628,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,160013424826,unclecode/crawl4ai,crawl4ai/async_webcrawler.py,160013424826::crawl4ai/async_webcrawler.py,similarity,0.388494230690264,0.9998768118917588,0.4822403810618815,0.6113825812014948,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,797517867029,reviewboard/reviewboard,reviewboard/dependencies.py,797517867029::reviewboard/dependencies.py,similarity,0.4573452417616261,0.9998460117031106,0.8714697406340057,0.5425007699414846,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,231040798896,microsoft/NLWeb,code/retrieval/retriever.py,231040798896::code/retrieval/retriever.py,similarity,0.3940286454003467,0.934324600365787,0.5104391819671742,0.5402959549654403,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,673955933836,nixtla/neuralforecast,neuralforecast/common/_base_model.py,673955933836::neuralforecast/common/_base_model.py,similarity,0.2791073477368583,0.7983291049238078,0.9177913127103704,0.5192217571869495,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,271644581749,great-expectations/great_expectations,great_expectations/exceptions/exceptions.py,271644581749::great_expectations/exceptions/exceptions.py,similarity,0.3065120428189116,0.8180790960451978,0.9245316681534343,0.5115670532262862,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,700152561912,graphistry/pygraphistry,graphistry/pygraphistry.py,700152561912::graphistry/pygraphistry.py,similarity,0.4340791647625408,0.9453603677985104,0.8299887887505106,0.5112812030359696,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,938525112707,great-expectations/great_expectations,tests/integration/test_utils/data_source_config/snowflake.py,938525112707::tests/integration/test_utils/data_source_config/snowflake.py,similarity,0.4960944280506856,0.999711066165848,0.9997109826589596,0.5036166381151624,0.0,1.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,804237079085,pennylaneai/pennylane,pennylane/compiler/python_compiler/dialects/quantum.py,804237079085::pennylane/compiler/python_compiler/dialects/quantum.py,similarity,0.5016857863822388,0.9818062299879132,0.4933310714815836,0.4801204436056744,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,203965744358,mosaicml/llm-foundry,scripts/train/train.py,203965744358::scripts/train/train.py,similarity,0.5297619047619048,1.0,0.0160340783994639,0.47023809523809523,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,33506985078,OptimalScale/LMFlow,src/lmflow/pipeline/finetuner.py,33506985078::src/lmflow/pipeline/finetuner.py,similarity,0.5323804662242642,0.999940465559326,0.8204811539791532,0.46755999933506187,0.0,0.0
openai/gpt-5-nano,ablation_beats_bj,bj_no_summary,731677227344,huggingface/open-r1,src/open_r1/configs.py,731677227344::src/open_r1/configs.py,similarity,0.5326161908702247,0.9998620879878636,0.9993107251171768,0.46724589711763886,0.0,0.0
